Date,Actual,ARIMA_Forecast,SARIMA_Forecast,Prophet_Forecast,LSTM_Forecast
09-01-2024,234.9600067,171.8956829,180.3725584,134.0067877,234.45651
10-01-2024,233.9400024,171.8956829,180.1263583,134.2481648,233.29219
11-01-2024,227.2200012,171.8956829,181.1791726,133.9399035,232.36539
12-01-2024,218.8899994,171.8956829,180.9086252,133.4977448,230.18887
16-01-2024,219.9100037,171.8956829,180.7435551,133.2912458,225.95345
17-01-2024,215.5500031,171.8956829,181.6429919,133.1058111,222.02565
18-01-2024,211.8800049,171.8956829,181.3399785,132.4077784,218.14674
19-01-2024,212.1900024,171.8956829,181.210223,131.6240867,214.39511
22-01-2024,208.8000031,171.8956829,181.4900581,131.8768982,211.71619
23-01-2024,209.1399994,171.8956829,180.8671105,130.696314,209.43712
24-01-2024,207.8300018,171.8956829,182.3484,130.513846,208.02948
25-01-2024,182.6300049,171.8956829,181.4877412,129.8927529,207.11426
26-01-2024,183.25,171.8956829,181.0259357,129.2561278,200.84923
29-01-2024,190.9299927,171.8956829,180.7797356,130.299468,193.6181
30-01-2024,191.5899963,171.8956829,181.8325499,129.4655269,189.20807
31-01-2024,187.2899933,171.8956829,181.5620025,129.6508697,187.32864
01-02-2024,188.8600006,171.8956829,181.3969324,129.4049996,186.26154
02-02-2024,187.9100037,171.8956829,182.2963692,129.13679,186.27487
05-02-2024,181.0599976,171.8956829,181.9933558,131.1041368,186.65936
06-02-2024,185.1000061,171.8956829,181.8636003,130.4744718,185.65839
07-02-2024,187.5800018,171.8956829,182.1434354,130.7936727,185.08684
08-02-2024,189.5599976,171.8956829,181.5204878,130.6026942,185.37389
09-02-2024,193.5700073,171.8956829,183.0017773,130.3039834,186.47432
12-02-2024,188.1300049,171.8956829,182.1411185,131.6389846,188.64888
13-02-2024,184.0200043,171.8956829,181.679313,130.6213866,189.66446
14-02-2024,188.7100067,171.8956829,181.4331129,130.4719781,188.93256
15-02-2024,200.4499969,171.8956829,182.4859272,129.7400703,188.47119
16-02-2024,199.9499969,171.8956829,182.2153798,128.8386287,190.82596
20-02-2024,193.7599945,171.8956829,182.0503097,126.3971425,193.96968
21-02-2024,194.7700043,171.8956829,182.9497465,125.5484985,195.43701
22-02-2024,197.4100037,171.8956829,182.6467331,124.1462828,195.93564
23-02-2024,191.9700012,171.8956829,182.5169776,122.61951,196.36592
26-02-2024,199.3999939,171.8956829,182.7968127,120.4464398,195.3735
27-02-2024,199.7299957,171.8956829,182.1738651,118.4093351,195.56715
28-02-2024,202.0399933,171.8956829,183.6551546,117.3578364,196.35071
29-02-2024,201.8800049,171.8956829,182.7944958,115.8634983,197.8064
01-03-2024,202.6399994,171.8956829,182.3326903,114.3585277,199.24619
04-03-2024,188.1399994,171.8956829,182.0864902,112.9267174,200.53683
05-03-2024,180.7400055,171.8956829,183.1393045,111.3464751,198.1086
06-03-2024,176.5399933,171.8956829,182.8687571,110.8429429,192.7011
07-03-2024,178.6499939,171.8956829,182.7036869,109.976228,186.06114
08-03-2024,175.3399963,171.8956829,183.6031238,109.1653657,180.75046
11-03-2024,177.7700043,171.8956829,183.3001104,110.0646049,176.56296
12-03-2024,177.5399933,171.8956829,183.1703549,109.2907715,174.4549
13-03-2024,169.4799957,171.8956829,183.45019,109.5812707,173.87053
14-03-2024,162.5,171.8956829,182.8272424,109.4806168,172.5349
15-03-2024,163.5700073,171.8956829,184.3085319,109.3932188,169.69081
18-03-2024,173.8000031,171.8956829,183.4478731,112.082374,166.94563
19-03-2024,171.3200073,171.8956829,182.9860676,111.7457192,166.99718
20-03-2024,175.6600037,171.8956829,182.7398675,112.3825384,167.96516
21-03-2024,172.8200073,171.8956829,183.7926818,112.5340312,170.20514
22-03-2024,170.8300018,171.8956829,183.5221344,112.6035834,172.04242
25-03-2024,172.6300049,171.8956829,183.3570642,115.2151568,172.8674
26-03-2024,177.6699982,171.8956829,184.2565011,114.6874054,173.35117
27-03-2024,179.8300018,171.8956829,183.9534877,115.0635588,174.59605
28-03-2024,175.7899933,171.8956829,183.8237322,114.8946456,176.40012
01-04-2024,175.2200012,171.8956829,184.1035673,115.9179841,177.2077
02-04-2024,166.6300049,171.8956829,183.4806197,114.9385455,177.1826
03-04-2024,168.3800049,171.8956829,184.9619092,114.8696154,174.81721
04-04-2024,171.1100006,171.8956829,184.1012504,114.2715359,172.11974
05-04-2024,164.8999939,171.8956829,183.6394449,113.5665216,170.36333
08-04-2024,172.9799957,171.8956829,183.3932448,113.8774407,168.12453
09-04-2024,176.8800049,171.8956829,184.4460591,112.6400024,167.87383
10-04-2024,171.7599945,171.8956829,184.1755117,112.354518,169.53226
11-04-2024,174.6000061,171.8956829,184.0104415,111.5799751,170.78015
12-04-2024,171.0500031,171.8956829,184.9098784,110.7357825,172.21808
15-04-2024,161.4799957,171.8956829,184.606865,110.8067263,172.67844
16-04-2024,157.1100006,171.8956829,184.4771095,109.5286044,170.4875
17-04-2024,155.4499969,171.8956829,184.7569446,109.2107839,166.47586
18-04-2024,149.9299927,171.8956829,184.133997,108.4052126,162.00693
19-04-2024,147.0500031,171.8956829,185.6152865,107.524469,157.08154
22-04-2024,142.0500031,171.8956829,184.7546277,107.3927589,152.37888
23-04-2024,144.6799927,171.8956829,184.2928222,106.0004865,147.7627
24-04-2024,162.1300049,171.8956829,184.0466221,105.5402141,144.6931
25-04-2024,170.1799927,171.8956829,185.0994364,104.5628288,146.56836
26-04-2024,168.2899933,171.8956829,184.828889,103.4812341,152.37389
29-04-2024,194.0500031,171.8956829,184.6638188,102.5965267,158.86063
30-04-2024,183.2799988,171.8956829,185.5632557,100.9173647,169.97536
01-05-2024,179.9900055,171.8956829,185.2602423,100.1620979,178.97633
02-05-2024,180.0099945,171.8956829,185.1304868,98.88877003,184.24191
03-05-2024,181.1900024,171.8956829,185.4103219,97.51797045,186.25432
06-05-2024,184.7599945,171.8956829,184.7873743,95.88566713,186.21191
07-05-2024,177.8099976,171.8956829,186.2686638,94.02295846,185.75824
08-05-2024,174.7200012,171.8956829,185.408005,93.1284744,183.5314
09-05-2024,171.9700012,171.8956829,184.9461995,91.76588296,180.16328
10-05-2024,168.4700012,171.8956829,184.6999994,90.36026728,176.30666
13-05-2024,171.8899994,171.8956829,185.7528137,88.97515454,172.274
14-05-2024,177.5500031,171.8956829,185.4822663,87.31308626,169.78314
15-05-2024,173.9900055,171.8956829,185.3171961,86.67512784,169.8558
16-05-2024,174.8399963,171.8956829,186.216633,85.62081624,170.5296
17-05-2024,177.4600067,171.8956829,185.9136196,84.56976802,171.65488
20-05-2024,174.9499969,171.8956829,185.7838641,84.45463949,173.39433
21-05-2024,186.6000061,171.8956829,186.0636992,83.25664197,174.57611
22-05-2024,180.1100006,171.8956829,185.4407516,83.08782542,177.79243
23-05-2024,173.7400055,171.8956829,186.9220411,82.49830218,179.94237
24-05-2024,179.2400055,171.8956829,186.0613823,81.89846584,179.71478
28-05-2024,176.75,171.8956829,185.5995768,82.09084891,179.48895
29-05-2024,176.1900024,171.8956829,185.3533767,82.19094043,178.69615
30-05-2024,178.7899933,171.8956829,186.406191,81.81855818,177.64899
31-05-2024,178.0800018,171.8956829,186.1356436,81.38217619,177.24437
03-06-2024,176.2899933,171.8956829,185.9705734,82.62675148,177.08585
04-06-2024,174.7700043,171.8956829,186.8700103,81.70520084,176.70657
05-06-2024,175,171.8956829,186.5669969,81.72286939,175.97174
06-06-2024,177.9400024,171.8956829,186.4372414,81.23259458,175.26447
07-06-2024,177.4799957,171.8956829,186.7170765,80.64980505,175.36226
10-06-2024,173.7899933,171.8956829,186.0941289,81.36150164,175.75836
11-06-2024,170.6600037,171.8956829,187.5754184,80.2578493,175.44345
12-06-2024,177.2899933,171.8956829,186.7147596,80.1041566,174.1687
13-06-2024,182.4700012,171.8956829,186.2529541,79.4603168,174.10738
14-06-2024,178.0099945,171.8956829,186.006754,78.74802781,175.79065
17-06-2024,187.4400024,171.8956829,187.0595683,79.26295901,177.06589
18-06-2024,184.8600006,171.8956829,186.7890209,78.16742851,179.96347
20-06-2024,181.5700073,171.8956829,186.6239507,77.50070317,182.48698
21-06-2024,183.0099945,171.8956829,187.5233876,76.90787355,183.55788
24-06-2024,182.5800018,171.8956829,187.2203742,77.95374123,183.93964
25-06-2024,187.3500061,171.8956829,187.0906187,77.07512388,183.73582
26-06-2024,196.3699951,171.8956829,187.3704538,77.19454536,184.3037
27-06-2024,197.4199982,171.8956829,186.7475062,76.86415528,187.12898
28-06-2024,197.8800049,171.8956829,188.2287957,76.49661566,190.73398
01-07-2024,209.8600006,171.8956829,187.3681369,78.13078639,194.07745
02-07-2024,231.2599945,171.8956829,186.9063314,77.40076276,199.28369
03-07-2024,246.3899994,171.8956829,186.6601313,77.63794621,209.27106
05-07-2024,251.5200043,171.8956829,187.7129456,77.07343318,223.17598
08-07-2024,252.9400024,171.8956829,187.4423982,78.64787871,237.2462
09-07-2024,262.3299866,171.8956829,187.277328,77.83581753,248.32965
10-07-2024,263.2600098,171.8956829,188.1767649,77.96609604,257.3332
11-07-2024,241.0299988,171.8956829,187.8737515,77.59325869,262.91592
12-07-2024,248.2299957,171.8956829,187.743996,77.13421818,259.16724
15-07-2024,252.6399994,171.8956829,188.0238311,78.26633731,253.422
16-07-2024,256.5599976,171.8956829,187.4008835,77.32176696,249.06584
17-07-2024,248.5,171.8956829,188.882173,77.33728071,247.45305
18-07-2024,249.2299957,171.8956829,188.0215142,76.87278991,245.56508
19-07-2024,239.1999969,171.8956829,187.5597087,76.34976294,244.3492
22-07-2024,251.5099945,171.8956829,187.3135086,77.48602408,241.31117
23-07-2024,246.3800049,171.8956829,188.3663229,76.61230031,241.43182
24-07-2024,215.9900055,171.8956829,188.0957755,76.7322648,241.8455
25-07-2024,220.25,171.8956829,187.9307053,76.40323458,234.81999
26-07-2024,219.8000031,171.8956829,188.8301421,76.04287807,227.19043
29-07-2024,232.1000061,171.8956829,188.5271288,77.77682605,221.00882
30-07-2024,222.6199951,171.8956829,188.3973733,77.11699533,220.08679
31-07-2024,232.0700073,171.8956829,188.6772084,77.44593628,219.78433
01-08-2024,216.8600006,171.8956829,188.0542608,77.31332301,222.35178
02-08-2024,207.6699982,171.8956829,189.5355503,77.1293316,222.1176
05-08-2024,198.8800049,171.8956829,188.6748915,79.20457323,218.43896
06-08-2024,200.6399994,171.8956829,188.213086,78.57749114,211.8294
07-08-2024,191.7599945,171.8956829,187.9668859,78.89220268,205.72461
08-08-2024,198.8399963,171.8956829,189.0197002,78.69647357,199.20003
09-08-2024,200,171.8956829,188.7491528,78.40003672,195.63647
12-08-2024,197.4900055,171.8956829,188.5840826,79.86020405,194.62506
13-08-2024,207.8300018,171.8956829,189.4835194,78.94894615,194.63892
14-08-2024,201.3800049,171.8956829,189.1805061,78.94997216,197.6177
15-08-2024,214.1399994,171.8956829,189.0507506,78.41878148,199.99377
16-08-2024,216.1199951,171.8956829,189.3305857,77.77368608,204.55324
19-08-2024,222.7200012,171.8956829,188.7076381,78.20185264,209.6355
20-08-2024,221.1000061,171.8956829,190.1889276,76.982814,215.39581
21-08-2024,223.2700043,171.8956829,189.3282688,76.70919312,219.72067
22-08-2024,210.6600037,171.8956829,188.8664633,75.94445199,222.73506
23-08-2024,220.3200073,171.8956829,188.6202632,75.11379219,221.16966
26-08-2024,213.2100067,171.8956829,189.6730775,75.32136335,219.89418
27-08-2024,209.2100067,171.8956829,189.4025301,74.1488019,217.18367
28-08-2024,205.75,171.8956829,189.2374599,73.9812334,213.41792
29-08-2024,206.2799988,171.8956829,190.1368967,73.3791294,209.17188
30-08-2024,214.1100006,171.8956829,189.8338834,72.76292467,205.81549
03-09-2024,210.6000061,171.8956829,189.7041279,73.02370214,205.54749
04-09-2024,219.4100037,171.8956829,189.983963,73.20610843,206.12273
05-09-2024,230.1699982,171.8956829,189.3610154,72.94912236,209.18811
06-09-2024,210.7299957,171.8956829,190.8423049,72.66146133,215.44203
09-09-2024,216.2700043,171.8956829,189.9816461,74.52564663,217.27698
10-09-2024,226.1699982,171.8956829,189.5198406,73.8505315,217.85126
11-09-2024,228.1300049,171.8956829,189.2736405,74.1216503,219.92793
12-09-2024,229.8099976,171.8956829,190.3264548,73.88218818,222.68985
13-09-2024,230.2899933,171.8956829,190.0559074,73.53707793,225.54677
16-09-2024,226.7799988,171.8956829,189.8908372,74.77282513,227.85257
17-09-2024,227.8699951,171.8956829,190.790274,73.74502124,228.40726
18-09-2024,227.1999969,171.8956829,190.4872607,73.60160978,228.15607
19-09-2024,243.9199982,171.8956829,190.3575052,72.89461421,227.32042
20-09-2024,238.25,171.8956829,190.6373403,72.03952905,230.48004
23-09-2024,250,171.8956829,190.0143927,71.61643139,233.43088
24-09-2024,254.2700043,171.8956829,191.4956822,70.03903024,238.57196
25-09-2024,257.019989,171.8956829,190.6350234,69.37178776,244.61401
26-09-2024,254.2200012,171.8956829,190.1732179,68.1809268,250.32199
27-09-2024,260.4599915,171.8956829,189.9270178,66.89542546,253.65341
30-09-2024,261.6300049,171.8956829,190.9798321,65.61820174,256.48285
01-10-2024,258.019989,171.8956829,190.7092847,63.93220507,258.5078
02-10-2024,249.0200043,171.8956829,190.5442145,63.25449133,258.56918
03-10-2024,240.6600037,171.8956829,191.4436513,62.15383104,255.21074
04-10-2024,250.0800018,171.8956829,191.140638,61.05926011,248.83073
07-10-2024,240.8300018,171.8956829,191.0108825,60.92233456,245.01205
08-10-2024,244.5,171.8956829,191.2907176,59.78142743,241.02565
09-10-2024,241.0500031,171.8956829,190.66777,59.71386426,239.0266
10-10-2024,238.7700043,171.8956829,192.1490595,59.27527362,237.7111
11-10-2024,217.8000031,171.8956829,191.2884006,58.88020678,236.62177
14-10-2024,219.1600037,171.8956829,190.8265952,60.90939425,230.79749
15-10-2024,219.5700073,171.8956829,190.5803951,60.45952828,224.58234
16-10-2024,221.3300018,171.8956829,191.6332094,61.0416065,219.79115
17-10-2024,220.8899994,171.8956829,191.362662,61.19708889,217.34009
18-10-2024,220.6999969,171.8956829,191.1975918,61.3278005,216.61838
21-10-2024,218.8500061,171.8956829,192.0970286,64.42548677,216.9929
22-10-2024,217.9700012,171.8956829,191.7940153,64.14024598,217.4684
23-10-2024,213.6499939,171.8956829,191.6642598,64.78632537,217.72554
24-10-2024,260.480011,171.8956829,191.9440949,64.90609111,216.79073
25-10-2024,269.1900024,171.8956829,191.3211472,64.9047915,226.82274
28-10-2024,262.5100098,171.8956829,192.8024367,67.09785201,242.35225
29-10-2024,259.519989,171.8956829,191.9417779,66.37472414,255.5045
30-10-2024,257.5499878,171.8956829,191.4799725,66.53538648,263.31104
31-10-2024,249.8500061,171.8956829,191.2337724,66.13628987,265.55835
01-11-2024,248.9799957,171.8956829,192.2865867,65.59735473,262.02615
04-11-2024,242.8399963,171.8956829,192.0160393,66.21173562,256.03296
05-11-2024,251.4400024,171.8956829,191.8509691,65.01994649,248.58228
06-11-2024,288.5299988,171.8956829,192.7504059,64.76107419,244.4752
07-11-2024,296.9100037,171.8956829,192.4473926,64.00142703,252.62616
08-11-2024,321.2200012,171.8956829,192.3176371,63.16882904,267.2283
11-11-2024,350,171.8956829,192.5974721,63.34946029,288.40497
12-11-2024,328.4899902,171.8956829,191.9745245,62.16576715,315.82602
13-11-2024,330.2399902,171.8956829,193.455814,61.98726461,332.6128
14-11-2024,311.1799927,171.8956829,192.5951552,61.37448474,339.31027
15-11-2024,320.7200012,171.8956829,192.1333498,60.74749356,332.57004
18-11-2024,338.7399902,171.8956829,191.8871497,61.79569194,323.58105
19-11-2024,346,171.8956829,192.939964,60.9451217,321.05423
20-11-2024,342.0299988,171.8956829,192.6694166,61.10030019,324.34454
21-11-2024,339.6400146,171.8956829,192.5043464,60.8087884,328.33984
22-11-2024,352.5599976,171.8956829,193.4037832,60.47815336,330.9079
25-11-2024,338.5899963,171.8956829,193.1007699,62.15585869,336.0271
26-11-2024,338.230011,171.8956829,192.9710144,61.39918221,336.66046
27-11-2024,332.8900146,171.8956829,193.2508494,61.58015856,334.9684
29-11-2024,345.1600037,171.8956829,192.6279018,60.79596751,331.07697
02-12-2024,357.0899963,171.8956829,194.1091913,61.72123358,331.05356
03-12-2024,351.4200134,171.8956829,193.2485325,60.59987055,336.54263
04-12-2024,357.9299927,171.8956829,192.7867271,60.37407758,341.45517
05-12-2024,369.4899902,171.8956829,192.540527,59.59978337,346.74814
06-12-2024,389.2200012,171.8956829,193.5933412,58.69633436,354.18625
09-12-2024,389.7900085,171.8956829,193.3227939,58.27670931,366.53238
10-12-2024,400.9899902,171.8956829,193.1577237,56.75954727,377.54272
11-12-2024,424.769989,171.8956829,194.0571605,56.18540174,387.8819
12-12-2024,418.1000061,171.8956829,193.7541472,55.12139353,402.03854
