Date,Actual,LSTM_Pred,GRU_Pred
2023-09-19,222.17999267578125,219.36621,220.73271
2023-09-20,222.1100006103516,223.72223,222.9083
2023-09-21,209.97999572753903,226.85402,223.6127
2023-09-22,214.6499938964844,226.07362,216.3458
2023-09-23,223.7100067138672,224.27585,215.64655
2023-09-24,237.41000366210932,224.07945,221.01683
2023-09-25,242.83999633789065,227.623,232.07974
2023-09-26,233.58999633789065,233.63925,240.47972
2023-09-27,234.3000030517578,237.8088,238.12775
2023-09-28,235.60000610351562,240.27708,236.8707
2023-09-29,241.19999694824222,241.51045,236.85672
2023-09-30,234.2100067138672,242.97997,240.26472
2023-10-01,235.4499969482422,242.69319,237.47833
2023-10-02,236.08000183105466,241.8072,236.81711
2023-10-03,246.72000122070315,240.88881,236.90341
2023-10-04,244.13999938964844,242.45969,243.56151
2023-10-05,240.08000183105466,244.45592,245.027
2023-10-06,238.8300018310547,245.41747,242.92285
2023-10-07,235.58000183105466,245.35907,240.97603
2023-10-08,238.72000122070315,244.04247,238.05531
2023-10-09,239.3699951171875,243.02226,238.73897
2023-10-10,242.6399993896484,242.50607,239.59868
2023-10-11,243.83999633789062,243.10277,242.06935
2023-10-12,239.7400054931641,244.44534,243.92285
2023-10-13,237.009994506836,245.02525,242.11732
2023-10-14,239.2899932861328,244.49815,239.47514
2023-10-15,251.0500030517578,243.98521,239.68163
2023-10-16,253.49999999999997,246.1512,247.17253
2023-10-17,252.0800018310547,249.82368,252.17647
2023-10-18,257.2200012207031,253.24834,253.29204
2023-10-19,247.13999938964847,256.96667,256.65015
2023-10-20,254.50000000000003,257.72443,251.6152
2023-10-21,252.5399932861328,258.38657,253.73499
2023-10-22,256.6099853515625,258.32126,253.50629
2023-10-23,261.44000244140625,258.78876,255.92583
2023-10-24,253.17999267578128,260.4991,260.00323
2023-10-25,248.47999572753903,260.61072,256.53058
2023-10-26,248.4199981689453,258.813,251.82611
2023-10-27,238.4499969482422,256.3674,249.6895
2023-10-28,237.92999267578125,251.87065,242.7148
2023-10-29,237.49000549316412,247.20668,239.45291
2023-10-30,240.44999694824216,243.37204,238.05112
2023-10-31,234.9600067138672,241.47902,239.57272
2023-11-01,233.94000244140625,239.86427,237.08948
2023-11-02,227.22000122070312,238.59486,235.38548
2023-11-03,218.88999938964844,236.36057,230.57996
2023-11-04,219.91000366210935,232.35289,223.41435
2023-11-05,215.5500030517578,228.49615,220.99951
2023-11-06,211.8800048828125,224.60022,217.64488
2023-11-07,212.19000244140625,220.76208,214.18515
2023-11-08,208.8000030517578,217.83209,213.0445
2023-11-09,209.13999938964844,215.29773,210.75304
2023-11-10,207.8300018310547,213.58897,210.08537
2023-11-11,182.6300048828125,212.41057,209.17632
2023-11-12,183.25,206.68878,193.75188
2023-11-13,190.92999267578125,199.90349,186.92552
2023-11-14,191.58999633789065,195.3222,188.80902
2023-11-15,187.2899932861328,192.9123,190.80374
2023-11-16,188.8600006103516,191.34589,189.49944
2023-11-17,187.91000366210935,190.88283,189.8167
2023-11-18,181.05999755859372,190.92714,189.48032
2023-11-19,185.1000061035156,189.92995,185.31793
2023-11-20,187.5800018310547,189.34596,185.6935
2023-11-21,189.55999755859372,189.54214,187.53154
2023-11-22,193.57000732421875,190.50983,189.71033
2023-11-23,188.1300048828125,192.5004,193.12283
2023-11-24,184.0200042724609,193.61191,191.47002
2023-11-25,188.7100067138672,193.24016,188.04353
2023-11-26,200.4499969482422,193.01196,189.0963
2023-11-27,199.9499969482422,195.15054,196.69386
2023-11-28,193.75999450683597,198.06772,200.17807
